new_beam_index,theta_new_deg,background_ref_angle_deg,source_mode,source_left_beam_index,source_left_angle_deg,source_right_beam_index,source_right_angle_deg,interp_weight,is_mirrored
0,-60.000000,10.000000,interp,17,9.000000,18,11.000000,0.500000,true
1,-58.000000,8.000000,interp,16,7.000000,17,9.000000,0.500000,true
2,-56.000000,6.000000,interp,15,5.000000,16,7.000000,0.500000,true
3,-54.000000,4.000000,interp,14,3.000000,15,5.000000,0.500000,true
4,-52.000000,2.000000,interp,13,1.000000,14,3.000000,0.500000,true
5,-50.000000,0.000000,interp,12,-1.000000,13,1.000000,0.500000,true
6,-48.000000,-2.000000,interp,11,-3.000000,12,-1.000000,0.500000,true
7,-46.000000,-4.000000,interp,10,-5.000000,11,-3.000000,0.500000,true
8,-44.000000,-6.000000,interp,9,-7.000000,10,-5.000000,0.500000,true
9,-42.000000,-8.000000,interp,8,-9.000000,9,-7.000000,0.500000,true
10,-40.000000,-10.000000,interp,7,-11.000000,8,-9.000000,0.500000,true
11,-38.000000,-12.000000,interp,6,-13.000000,7,-11.000000,0.500000,true
12,-36.000000,-14.000000,interp,5,-15.000000,6,-13.000000,0.500000,true
13,-34.000000,-16.000000,interp,4,-17.000000,5,-15.000000,0.500000,true
14,-32.000000,-18.000000,interp,3,-19.000000,4,-17.000000,0.500000,true
15,-30.000000,-20.000000,interp,2,-21.000000,3,-19.000000,0.500000,true
16,-28.000000,-22.000000,interp,1,-23.000000,2,-21.000000,0.500000,true
17,-26.000000,-24.000000,interp,0,-25.000000,1,-23.000000,0.500000,true
18,-24.000000,-24.000000,interp,0,-25.000000,1,-23.000000,0.500000,false
19,-22.000000,-22.000000,interp,1,-23.000000,2,-21.000000,0.500000,false
20,-20.000000,-20.000000,interp,2,-21.000000,3,-19.000000,0.500000,false
21,-18.000000,-18.000000,interp,3,-19.000000,4,-17.000000,0.500000,false
22,-16.000000,-16.000000,interp,4,-17.000000,5,-15.000000,0.500000,false
23,-14.000000,-14.000000,interp,5,-15.000000,6,-13.000000,0.500000,false
24,-12.000000,-12.000000,interp,6,-13.000000,7,-11.000000,0.500000,false
25,-10.000000,-10.000000,interp,7,-11.000000,8,-9.000000,0.500000,false
26,-8.000000,-8.000000,interp,8,-9.000000,9,-7.000000,0.500000,false
27,-6.000000,-6.000000,interp,9,-7.000000,10,-5.000000,0.500000,false
28,-4.000000,-4.000000,interp,10,-5.000000,11,-3.000000,0.500000,false
29,-2.000000,-2.000000,interp,11,-3.000000,12,-1.000000,0.500000,false
30,0.000000,0.000000,interp,12,-1.000000,13,1.000000,0.500000,false
31,2.000000,2.000000,interp,13,1.000000,14,3.000000,0.500000,false
32,4.000000,4.000000,interp,14,3.000000,15,5.000000,0.500000,false
33,6.000000,6.000000,interp,15,5.000000,16,7.000000,0.500000,false
34,8.000000,8.000000,interp,16,7.000000,17,9.000000,0.500000,false
35,10.000000,10.000000,interp,17,9.000000,18,11.000000,0.500000,false
36,12.000000,12.000000,interp,18,11.000000,19,13.000000,0.500000,false
37,14.000000,14.000000,interp,19,13.000000,20,15.000000,0.500000,false
38,16.000000,16.000000,interp,20,15.000000,21,17.000000,0.500000,false
39,18.000000,18.000000,interp,21,17.000000,22,19.000000,0.500000,false
40,20.000000,20.000000,interp,22,19.000000,23,21.000000,0.500000,false
41,22.000000,22.000000,interp,23,21.000000,24,23.000000,0.500000,false
42,24.000000,24.000000,interp,24,23.000000,25,25.000000,0.500000,false
43,26.000000,24.000000,interp,24,23.000000,25,25.000000,0.500000,true
44,28.000000,22.000000,interp,23,21.000000,24,23.000000,0.500000,true
45,30.000000,20.000000,interp,22,19.000000,23,21.000000,0.500000,true
46,32.000000,18.000000,interp,21,17.000000,22,19.000000,0.500000,true
47,34.000000,16.000000,interp,20,15.000000,21,17.000000,0.500000,true
48,36.000000,14.000000,interp,19,13.000000,20,15.000000,0.500000,true
49,38.000000,12.000000,interp,18,11.000000,19,13.000000,0.500000,true
50,40.000000,10.000000,interp,17,9.000000,18,11.000000,0.500000,true
51,42.000000,8.000000,interp,16,7.000000,17,9.000000,0.500000,true
52,44.000000,6.000000,interp,15,5.000000,16,7.000000,0.500000,true
53,46.000000,4.000000,interp,14,3.000000,15,5.000000,0.500000,true
54,48.000000,2.000000,interp,13,1.000000,14,3.000000,0.500000,true
55,50.000000,0.000000,interp,12,-1.000000,13,1.000000,0.500000,true
56,52.000000,-2.000000,interp,11,-3.000000,12,-1.000000,0.500000,true
57,54.000000,-4.000000,interp,10,-5.000000,11,-3.000000,0.500000,true
58,56.000000,-6.000000,interp,9,-7.000000,10,-5.000000,0.500000,true
59,58.000000,-8.000000,interp,8,-9.000000,9,-7.000000,0.500000,true
60,60.000000,-10.000000,interp,7,-11.000000,8,-9.000000,0.500000,true
