new_pulse_index,old_pulse_pos,old_left_index,old_right_index,weight
0,0.00000000,0,0,0.00000000
1,1.53846154,1,2,0.53846154
2,3.07692308,3,4,0.07692308
3,4.61538462,4,5,0.61538462
4,6.15384615,6,7,0.15384615
5,7.69230769,7,8,0.69230769
6,9.23076923,9,10,0.23076923
7,10.76923077,10,11,0.76923077
8,12.30769231,12,13,0.30769231
9,13.84615385,13,14,0.84615385
10,15.38461538,15,16,0.38461538
11,16.92307692,16,17,0.92307692
12,18.46153846,18,19,0.46153846
13,20.00000000,20,20,0.00000000
14,21.53846154,21,22,0.53846154
15,23.07692308,23,24,0.07692308
16,24.61538462,24,25,0.61538462
17,26.15384615,26,27,0.15384615
18,27.69230769,27,28,0.69230769
19,29.23076923,29,30,0.23076923
20,30.76923077,30,31,0.76923077
21,32.30769231,32,33,0.30769231
22,33.84615385,33,34,0.84615385
23,35.38461538,35,36,0.38461538
24,36.92307692,36,37,0.92307692
25,38.46153846,38,39,0.46153846
26,40.00000000,40,40,0.00000000
27,41.53846154,41,42,0.53846154
28,43.07692308,43,44,0.07692308
29,44.61538462,44,45,0.61538462
30,46.15384615,46,47,0.15384615
31,47.69230769,47,48,0.69230769
32,49.23076923,49,50,0.23076923
33,50.76923077,50,51,0.76923077
34,52.30769231,52,53,0.30769231
35,53.84615385,53,54,0.84615385
36,55.38461538,55,56,0.38461538
37,56.92307692,56,57,0.92307692
38,58.46153846,58,59,0.46153846
39,60.00000000,60,60,0.00000000
40,61.53846154,61,62,0.53846154
41,63.07692308,63,64,0.07692308
42,64.61538462,64,65,0.61538462
43,66.15384615,66,67,0.15384615
44,67.69230769,67,68,0.69230769
45,69.23076923,69,70,0.23076923
46,70.76923077,70,71,0.76923077
47,72.30769231,72,73,0.30769231
48,73.84615385,73,74,0.84615385
49,75.38461538,75,76,0.38461538
50,76.92307692,76,77,0.92307692
51,78.46153846,78,79,0.46153846
52,80.00000000,80,80,0.00000000
53,81.53846154,81,82,0.53846154
54,83.07692308,83,84,0.07692308
55,84.61538462,84,85,0.61538462
56,86.15384615,86,87,0.15384615
57,87.69230769,87,88,0.69230769
58,89.23076923,89,90,0.23076923
59,90.76923077,90,91,0.76923077
60,92.30769231,92,93,0.30769231
61,93.84615385,93,94,0.84615385
62,95.38461538,95,96,0.38461538
63,96.92307692,96,97,0.92307692
64,98.46153846,98,99,0.46153846
65,100.00000000,100,100,0.00000000
66,101.53846154,101,102,0.53846154
67,103.07692308,103,104,0.07692308
68,104.61538462,104,105,0.61538462
69,106.15384615,106,107,0.15384615
70,107.69230769,107,108,0.69230769
71,109.23076923,109,110,0.23076923
72,110.76923077,110,111,0.76923077
73,112.30769231,112,113,0.30769231
74,113.84615385,113,114,0.84615385
75,115.38461538,115,116,0.38461538
76,116.92307692,116,117,0.92307692
77,118.46153846,118,119,0.46153846
78,120.00000000,120,120,0.00000000
79,121.53846154,121,122,0.53846154
80,123.07692308,123,124,0.07692308
81,124.61538462,124,125,0.61538462
82,126.15384615,126,127,0.15384615
83,127.69230769,127,128,0.69230769
84,129.23076923,129,130,0.23076923
85,130.76923077,130,131,0.76923077
86,132.30769231,132,133,0.30769231
87,133.84615385,133,134,0.84615385
88,135.38461538,135,136,0.38461538
89,136.92307692,136,137,0.92307692
90,138.46153846,138,139,0.46153846
91,140.00000000,140,140,0.00000000
92,141.53846154,141,142,0.53846154
93,143.07692308,143,144,0.07692308
94,144.61538462,144,145,0.61538462
95,146.15384615,146,147,0.15384615
96,147.69230769,147,148,0.69230769
97,149.23076923,149,150,0.23076923
98,150.76923077,150,151,0.76923077
99,152.30769231,152,153,0.30769231
100,153.84615385,153,154,0.84615385
101,155.38461538,155,156,0.38461538
102,156.92307692,156,157,0.92307692
103,158.46153846,158,159,0.46153846
104,160.00000000,160,160,0.00000000
105,161.53846154,161,162,0.53846154
106,163.07692308,163,164,0.07692308
107,164.61538462,164,165,0.61538462
108,166.15384615,166,167,0.15384615
109,167.69230769,167,168,0.69230769
110,169.23076923,169,170,0.23076923
111,170.76923077,170,171,0.76923077
112,172.30769231,172,173,0.30769231
113,173.84615385,173,174,0.84615385
114,175.38461538,175,176,0.38461538
115,176.92307692,176,177,0.92307692
116,178.46153846,178,179,0.46153846
117,180.00000000,180,180,0.00000000
118,181.53846154,181,182,0.53846154
119,183.07692308,183,184,0.07692308
120,184.61538462,184,185,0.61538462
121,186.15384615,186,187,0.15384615
122,187.69230769,187,188,0.69230769
123,189.23076923,189,190,0.23076923
124,190.76923077,190,191,0.76923077
125,192.30769231,192,193,0.30769231
126,193.84615385,193,194,0.84615385
127,195.38461538,195,196,0.38461538
128,196.92307692,196,197,0.92307692
129,198.46153846,198,199,0.46153846
