case,input_mean_abs,input_rms,input_max_abs,output_mean_abs,output_rms,output_max_abs,has_nan,has_inf
constant,1,1,1,1,1,1,false,false
single_tone,1,1,1,1,1,1,false,false
random,0.766335,0.818364,1.40365,0.751143,0.818364,1.97621,false,false
real_p0_b0_q0_ch1,2873.27,3273.53,10005.8,2871.23,3273.53,10659.1,false,false
real_p0_b0_q0_ch2,4286.75,4896.29,15598,4282.65,4896.29,15919.8,false,false
real_p0_b0_q1_ch1,2754.12,3133.52,9692.36,2758.6,3133.52,10789.9,false,false
real_p0_b0_q1_ch2,4073.41,4663.29,15206.8,4074.16,4663.29,15574.5,false,false
real_p0_b0_q2_ch1,2651.19,3026.82,9991.26,2649.68,3026.82,10355.7,false,false
real_p0_b0_q2_ch2,3819.49,4357.37,13680.7,3817.44,4357.37,15627.5,false,false
real_p0_b1_q0_ch1,2693.23,3067.55,9439.8,2692.34,3067.55,9775.19,false,false
real_p0_b1_q0_ch2,4198.04,4820.5,14017,4195.25,4820.5,14678,false,false
real_p0_b1_q1_ch1,2579.97,2947.56,10045.4,2580.54,2947.56,10012.2,false,false
real_p0_b1_q1_ch2,4097.49,4747.33,15594.8,4105.19,4747.33,15414.8,false,false
real_p0_b1_q2_ch1,2473.58,2834.76,9015.62,2475.94,2834.76,9016.65,false,false
real_p0_b1_q2_ch2,3954.1,4568.88,14545.9,3959.87,4568.88,16509.1,false,false
real_p0_b2_q0_ch1,3430.66,3957.46,12694.3,3429.11,3957.46,12808.3,false,false
real_p0_b2_q0_ch2,5855.03,6858.6,20814.2,5855.43,6858.6,21509.8,false,false
real_p0_b2_q1_ch1,3309.85,3819.68,14997.6,3307.65,3819.68,14771.9,false,false
real_p0_b2_q1_ch2,5723.03,6683.08,21800.2,5727.89,6683.08,21767.7,false,false
real_p0_b2_q2_ch1,3084.61,3573.88,11374.2,3082.27,3573.88,11354.4,false,false
real_p0_b2_q2_ch2,5623.51,6554.03,24076.9,5625.5,6554.03,23882,false,false
