scatterer_id,type,x_m,y_m,z_m,amplitude,phase_rad,rcs_db,initial_range_m,initial_azimuth_deg
1021,line,59537.7077516,-69314.7719358,0,3.26980350318,3.38076074476,10.2904330957,91571.1540434,-49.3391724607
1022,line,60287.0896366,-68672.3986141,0,4.57584457239,4.7432287918,13.2094252873,91577.4617921,-48.7202956882
1023,line,61029.5404526,-68021.9231972,0,3.56374771791,0.808906714179,11.0381390442,91583.7695408,-48.1014189158
1024,line,61764.9725986,-67363.4204727,0,4.22256425087,0.961175752017,12.5115253311,91590.0772894,-47.4825421433
1025,line,62493.299281,-66696.9661756,0,3.43767701801,1.02915539771,10.7253014151,91596.3850381,-46.8636653708
1026,line,63214.4345232,-66022.6369794,0,3.11124698421,0.148187709708,9.85868977295,91602.6927868,-46.2447885983
1027,line,63928.293176,-65340.5104871,0,5.37505466087,5.56164197834,14.6076577021,91609.0005355,-45.6259118259
1028,line,64634.7909278,-64650.6652226,0,3.74068605228,4.52076994449,11.4590252066,91615.3082842,-45.0070350534
1029,line,65333.8443143,-63953.1806213,0,3.19128398596,3.87427439536,10.0793090581,91621.6160329,-44.3881582809
1030,line,66025.3707285,-63248.1370214,0,4.68965391809,1.02423563087,13.4228158862,91627.9237816,-43.7692815084
1031,line,66709.2884304,-62535.6156542,0,4.1643147262,6.2823472738,12.3908708946,91634.2315303,-43.150404736
1032,line,67385.5165568,-61815.6986349,0,4.85954493747,4.1316051348,13.7319120503,91640.5392789,-42.5315279635
1033,line,68053.9751304,-61088.4689533,0,3.48193964987,2.29798621837,10.8364247902,91646.8470276,-41.912651191
1034,line,68714.5850701,-60354.010464,0,3.89940198539,4.31670629531,11.8199601694,91653.1547763,-41.2937744186
1035,line,69367.2681995,-59612.4078771,0,4.3415445177,6.19604677793,12.7528851717,91659.462525,-40.6748976461
1036,line,70011.9472567,-58863.7467478,0,3.52033573772,4.60012735279,10.9316816905,91665.7702737,-40.0560208736
1037,line,70648.5459031,-58108.1134672,0,4.13457710018,1.05382067756,12.3286218983,91672.0780224,-39.4371441011
1038,line,71276.9887327,-57345.5952518,0,4.66956995188,6.20327426256,13.3855377136,91678.3857711,-38.8182673287
1039,line,71897.2012809,-56576.2801339,0,3.36200414394,1.6016823899,10.5319648881,91684.6935198,-38.1993905562
1040,line,72509.1100332,-55800.256951,0,3.58698467338,0.852939044565,11.0945904202,91691.0012684,-37.5805137837
1041,line,73112.6424343,-55017.615336,0,4.69556074284,2.13742848177,13.433749261,91697.3090171,-36.9616370112
1042,line,73707.7268963,-54228.4457062,0,4.2044230123,5.69432533726,12.4741280894,91703.6167658,-36.3427602388
1043,line,74294.2928073,-53432.8392537,0,3.62593913184,3.31797899244,11.1884101875,91709.9245145,-35.7238834663
1044,line,74872.27054,-52630.8879342,0,3.05330383466,2.22374263095,9.69540046299,91716.2322632,-35.1050066938
1045,line,75441.5914596,-51822.6844565,0,3.73883709919,4.14076413554,11.4547308679,91722.5400119,-34.4861299214
1046,line,76002.1879321,-51008.322272,0,4.53424542221,5.0091392842,13.1301004641,91728.8477606,-33.8672531489
1047,line,76553.9933327,-50187.8955639,0,3.69375797679,0.434620184629,11.349368722,91735.1555093,-33.2483763764
1048,line,77096.9420529,-49361.4992358,0,3.92758460621,1.69785398788,11.8825109837,91741.463258,-32.6294996039
1049,line,77630.969509,-48529.2289015,0,4.00899078638,2.12677411129,12.0607011628,91747.7710066,-32.0106228315
1050,line,78156.0121497,-47691.1808733,0,3.64285501993,1.09125326587,11.2288377466,91754.0787553,-31.391746059
1051,line,78672.0074634,-46847.4521511,0,4.73016246724,3.5187489666,13.4975211548,91760.386504,-30.7728692865
1052,line,79178.8939855,-45998.1404113,0,3.88705712135,3.838801771,11.792418455,91766.6942527,-30.153992514
1053,line,79676.6113064,-45143.3439953,0,4.26161541726,0.39070401273,12.5914850986,91773.0020014,-29.5351157416
1054,line,80165.100078,-44283.161898,0,4.72294445322,0.165832349249,13.484256757,91779.3097501,-28.9162389691
1055,line,80644.3020211,-43417.6937568,0,3.15611900356,1.13888398916,9.98306740415,91785.6174988,-28.2973621966
1056,line,81114.1599323,-42547.0398397,0,2.93739003364,4.27901776962,9.35923234014,91791.9252475,-27.6784854242
1057,line,81574.6176907,-41671.3010335,0,5.01158433907,3.39193813202,13.9995008684,91798.2329961,-27.0596086517
1058,line,82025.6202651,-40790.5788326,0,4.18254271953,3.66230417096,12.4288077088,91804.5407448,-26.4407318792
1059,line,82467.1137196,-39904.975327,0,4.23067093661,6.10608079605,12.5281849407,91810.8484935,-25.8218551067
1060,line,82899.0452212,-39014.5931904,0,3.50920115836,3.55228354209,10.9041652809,91817.1562422,-25.2029783343
1061,line,83321.3630452,-38119.5356684,0,3.06853132135,2.04042588501,9.73861121214,91823.4639909,-24.5841015618
1062,line,83734.0165818,-37219.9065664,0,3.93946518806,1.3544421825,11.9087453419,91829.7717396,-23.9652247893
1063,line,84136.9563423,-36315.8102378,0,3.54089676232,1.93594134325,10.9822652948,91836.0794883,-23.3463480168
1064,line,84530.1339645,-35407.3515717,0,3.95892567487,0.792349888921,11.9515469671,91842.387237,-22.7274712444
1065,line,84913.5022192,-34494.6359806,0,4.59166603544,0.171375628173,13.239405862,91848.6949856,-22.1085944719
1066,line,85287.0150152,-33577.7693886,0,3.89300318674,1.77253280396,11.8056951845,91855.0027343,-21.4897176994
1067,line,85650.6274054,-32656.8582188,0,4.51738007848,4.82059890618,13.097732646,91861.310483,-20.8708409269
1068,line,86004.2955916,-31732.0093809,0,3.48787983092,0.0348297831377,10.8512302725,91867.6182317,-20.2519641545
1069,line,86347.9769306,-30803.3302591,0,4.36019041499,2.10748514611,12.7901091174,91873.9259804,-19.633087382
1070,line,86681.6299383,-29870.9286991,0,4.62456367912,3.76741098323,13.3014152791,91880.2337291,-19.0142106095
