period_id,beam_id_0based,beam_id_1based,pulse_id,time_sec,target_id,target_name,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,platform_x_m,platform_y_m,platform_z_m,range_m,tau_abs_us,tau_rel_us,range_sample_float,range_sample_int,target_azimuth_deg,theta_cmd_deg,theta_true_deg,angle_error_deg,beam_gain,visible_by_beam,in_range_window,injection_enabled,local_background_rms,target_amplitude,delta_phi_ch_rad,radial_velocity_mps
0,0,1,0,0,1,strong_cooperative_target,84787.9708449,0,0,10,0,0,0,0,6000,85000,567.058961837,79.0589618369,4743.53771021,4744,0,-61,-61,61,0,0,1,0,1e-06,1,-49.8594321732,-49.8752769676
0,1,2,0,0.1,1,strong_cooperative_target,84788.9708449,0,0,10,0,0,6,0,6000,84995.012473,567.025688638,79.0256886385,4741.54131831,4742,0,-59,-59,59,0,0,1,0,1e-06,1,-48.8645231083,-49.8752623113
0,2,3,0,0.2,1,strong_cooperative_target,84789.9708449,0,0,10,0,0,12,0,6000,84990.0249475,566.99241545,78.9924154499,4739.54492699,4740,0,-57,-57,57,0,0,1,0,1e-06,1,-47.8100801489,-49.8752476524
0,3,4,0,0.3,1,strong_cooperative_target,84790.9708449,0,0,10,0,0,18,0,6000,84985.0374235,566.959142271,78.9591422711,4737.54853626,4738,0,-55,-55,55,0,0,1,0,1e-06,1,-46.6973879715,-49.875232991
0,4,5,0,0.4,1,strong_cooperative_target,84791.9708449,0,0,10,0,0,24,0,6000,84980.0499009,566.925869102,78.925869102,4735.55214612,4736,0,-53,-53,53,0,0,1,0,1e-06,1,-45.52780222,-49.875218327
0,5,6,0,0.5,1,strong_cooperative_target,84792.9708449,0,0,10,0,0,30,0,6000,84975.0623798,566.892595943,78.8925959428,4733.55575657,4734,0,-51,-51,51,0,0,1,0,1e-06,1,-44.3027478545,-49.8752036604
0,6,7,0,0.6,1,strong_cooperative_target,84793.9708449,0,0,10,0,0,36,0,6000,84970.0748602,566.859322793,78.8593227933,4731.5593676,4732,0,-49,-49,49,0,0,1,0,1e-06,1,-43.023717415,-49.8751889912
0,7,8,0,0.7,1,strong_cooperative_target,84794.9708449,0,0,10,0,0,42,0,6000,84965.087342,566.826049654,78.8260496536,4729.56297922,4730,0,-47,-47,47,0,0,1,0,1e-06,1,-41.6922692032,-49.8751743194
0,8,9,0,0.8,1,strong_cooperative_target,84795.9708449,0,0,10,0,0,48,0,6000,84960.0998253,566.792776524,78.7927765237,4727.56659142,4728,0,-45,-45,45,0,0,1,0,1e-06,1,-40.3100253836,-49.875159645
0,9,10,0,0.9,1,strong_cooperative_target,84796.9708449,0,0,10,0,0,54,0,6000,84955.1123101,566.759503404,78.7595034036,4725.57020422,4726,0,-43,-43,43,0,0,1,0,1e-06,1,-38.8786700073,-49.8751449681
0,10,11,0,1,1,strong_cooperative_target,84797.9708449,0,0,10,0,0,60,0,6000,84950.1247964,566.726230293,78.7262302933,4723.5738176,4724,0,-41,-41,41,0,0,1,0,1e-06,1,-37.3999469604,-49.8751302885
0,11,12,0,1.1,1,strong_cooperative_target,84798.9708449,0,0,10,0,0,66,0,6000,84945.1372841,566.692957193,78.6929571928,4721.57743157,4722,0,-39,-39,39,0,0,1,0,1e-06,1,-35.8756578392,-49.8751156064
0,12,13,0,1.2,1,strong_cooperative_target,84799.9708449,0,0,10,0,0,72,0,6000,84940.1497732,566.659684102,78.6596841021,4719.58104612,4720,0,-37,-37,37,0,0,1,0,1e-06,1,-34.3076597551,-49.8751009217
0,13,14,0,1.3,1,strong_cooperative_target,84800.9708449,0,0,10,0,0,78,0,6000,84935.1622639,566.626411021,78.6264110211,4717.58466127,4718,0,-35,-35,35,0,0,1,0,1e-06,1,-32.6978630723,-49.8750862344
0,14,15,0,1.4,1,strong_cooperative_target,84801.9708449,0,0,10,0,0,84,0,6000,84930.174756,566.59313795,78.59313795,4715.588277,4716,0,-33,-33,33,0,0,1,0,1e-06,1,-31.0482290801,-49.8750715446
0,15,16,0,1.5,1,strong_cooperative_target,84802.9708449,0,0,10,0,0,90,0,6000,84925.1872496,566.559864889,78.5598648887,4713.59189332,4714,0,-31,-31,31,0,0,1,0,1e-06,1,-29.3607676033,-49.8750568521
